,portfolio
,"$2,000.00"
,"$2,080.00"
,"$2,476.00"
,"$2,570.00"
,"$2,640.00"
,"$2,742.00"
,"$2,827.00"
,"$2,923.00"
,"$2,857.00"
,"$2,982.00"
,"$3,126.00"
,"$3,258.00"
,"$3,390.00"
,"$3,645.00"
,"$3,783.00"
,"$3,531.00"
,"$3,667.00"
,"$3,415.00"
,"$3,160.00"
,"$3,280.00"
,"$3,116.00"
,"$2,846.00"
,"$2,746.00"
,"$2,872.00"
,"$2,982.00"
,"$3,122.00"
,"$3,314.00"
,"$3,458.00"
,"$3,638.00"
,"$3,385.00"
,"$3,589.00"
,"$3,330.00"
,"$3,828.00"
,"$4,368.00"
,"$5,223.00"
,"$5,559.00"
,"$6,899.00"
,"$7,497.00"
,"$8,065.00"
,"$9,215.00"
,"$10,655.00"
,"$11,059.00"
,"$10,344.00"
,"$11,055.00"
,"$11,295.00"
,"$11,805.00"
,"$12,345.00"
,"$12,345.00"
,"$16,389.00"
,"$15,289.00"
,"$16,186.00"
,"$15,001.00"
,"$13,882.00"
,"$12,877.00"
,"$11,609.00"
,"$12,169.00"
,"$12,587.00"
,"$13,841.00"
,"$15,065.00"
,"$14,265.00"
,"$14,754.00"
,"$13,710.00"
,"$16,776.00"
,"$16,236.00"
,"$17,806.00"
,"$16,794.00"
,"$17,242.00"
,"$19,322.00"
,"$18,319.00"
,"$18,947.00"
,"$19,577.00"
,"$21,447.00"
,"$21,111.00"
,"$21,540.00"
,"$21,756.00"
,"$23,119.00"
,"$25,094.00"
,"$25,978.00"
,"$26,950.00"
,"$28,578.00"
,"$29,471.00"
,"$30,546.00"
,"$31,421.00"
,"$32,636.00"
,"$33,756.00"
,"$35,484.00"
,"$36,632.00"
,"$37,882.00"
,"$39,002.00"
,"$40,124.00"
,"$40,988.00"
,"$39,004.00"
,"$37,002.00"
,"$34,982.00"
,"$35,982.00"
,"$34,030.00"
,"$34,700.00"
,"$32,654.00"
,"$33,662.00"
,"$33,662.00"
,"$34,497.00"
,"$35,297.00"
,"$35,752.00"
,"$36,844.00"
,"$37,416.00"
,"$38,652.00"
,"$42,288.00"
,"$43,256.00"
,"$44,129.00"
,"$44,946.00"
,"$44,253.00"
,"$45,738.00"
,"$46,557.00"
,"$47,797.00"
,"$48,557.00"
,"$46,436.00"
,"$44,306.00"
,"$42,311.00"
,"$43,207.00"
,"$44,023.00"
,"$44,863.00"
,"$45,799.00"
,"$46,759.00"
,"$47,584.00"
