Time,portfolio
1,"$2,000.00"
2,"$2,080.00"
3,"$2,476.00"
4,"$2,570.00"
5,"$2,640.00"
6,"$2,742.00"
7,"$2,827.00"
8,"$2,923.00"
9,"$2,857.00"
10,"$2,982.00"
11,"$3,126.00"
12,"$3,258.00"
13,"$3,390.00"
14,"$3,645.00"
15,"$3,783.00"
16,"$3,531.00"
17,"$3,667.00"
18,"$3,415.00"
19,"$3,160.00"
20,"$3,280.00"
21,"$3,116.00"
22,"$2,846.00"
23,"$2,746.00"
24,"$2,872.00"
25,"$2,982.00"
26,"$3,122.00"
27,"$3,314.00"
28,"$3,458.00"
29,"$3,638.00"
30,"$3,385.00"
31,"$3,589.00"
32,"$3,330.00"
33,"$3,828.00"
34,"$4,368.00"
35,"$5,223.00"
36,"$5,559.00"
37,"$6,899.00"
38,"$7,497.00"
39,"$8,065.00"
40,"$9,215.00"
41,"$10,655.00"
42,"$11,059.00"
43,"$10,344.00"
44,"$11,055.00"
45,"$11,295.00"
46,"$11,805.00"
47,"$12,345.00"
48,"$12,345.00"
49,"$16,389.00"
50,"$15,289.00"
51,"$16,186.00"
52,"$15,001.00"
53,"$13,882.00"
54,"$12,877.00"
55,"$11,609.00"
56,"$12,169.00"
57,"$12,587.00"
58,"$13,841.00"
59,"$15,065.00"
60,"$14,265.00"
61,"$14,754.00"
62,"$13,710.00"
63,"$16,776.00"
64,"$16,236.00"
65,"$17,806.00"
66,"$16,794.00"
67,"$17,242.00"
68,"$19,322.00"
69,"$18,319.00"
70,"$18,947.00"
71,"$19,577.00"
72,"$21,447.00"
73,"$21,111.00"
74,"$21,540.00"
75,"$21,756.00"
76,"$23,119.00"
77,"$25,094.00"
78,"$25,978.00"
79,"$26,950.00"
80,"$28,578.00"
81,"$29,471.00"
82,"$30,546.00"
83,"$31,421.00"
84,"$32,636.00"
85,"$33,756.00"
86,"$35,484.00"
87,"$36,632.00"
88,"$37,882.00"
89,"$39,002.00"
90,"$40,124.00"
91,"$40,988.00"
92,"$39,004.00"
93,"$37,002.00"
94,"$34,982.00"
95,"$35,982.00"
96,"$34,030.00"
97,"$34,700.00"
98,"$32,654.00"
99,"$33,662.00"
100,"$33,662.00"
101,"$34,497.00"
102,"$35,297.00"
103,"$35,752.00"
104,"$36,844.00"
105,"$37,416.00"
106,"$38,652.00"
107,"$42,288.00"
108,"$43,256.00"
109,"$44,129.00"
110,"$44,946.00"
111,"$44,253.00"
112,"$45,738.00"
113,"$46,557.00"
114,"$47,797.00"
115,"$48,557.00"
116,"$46,436.00"
117,"$44,306.00"
118,"$42,311.00"
119,"$43,207.00"
120,"$44,023.00"
121,"$44,863.00"
122,"$45,799.00"
123,"$46,759.00"
124,"$47,584.00"
